stage;theme;title;link
1;"Pla de Projecte";"Rúbrica del Pla de Projecte";"Rúbrica del Pla de Projecte";"docs/fase1/Rúbrica del Pla de Projecte.docx"
1;"Pla de Projecte";"E01-Pla de Projecte";"E01-Pla de Projecte CoBeer 2022-2023";"docs/fase1/E0-Plan_de_proyecto.docx"
2;"Especificació Tècnica";"Rúbrica de l'Especificació Tècnica";"Rúbrica de l'Especificació Tècnica";"docs/fase2/Rúbrica del Pla de Projecte.pdf"
2;"Especificació Tècnica";"E02-Especificació Tècnica";"E01-Especificació Tècnica CoBeer 2022-2023";"docs/fase2/E1-Especificacion_tecnica.docx"
2;"Disseny web i experiència d'usuari (UX)";"Can't Unsee";"Joc de selecció de la interfície més amigable";"https://cantunsee.space/"
2;"Disseny web i experiència d'usuari (UX)";"User inyerface";"Exemple de la lloc menys amigable possible!";"User inyerface";"https://userinyerface.com/game.html"
2;"Disseny web i experiència d'usuari (UX)";"Clonewars";"CloneWars allotja clons de llocs webs populars";"https://gourav.io/clone-wars"
2;"Disseny web i experiència d'usuari (UX)";"Excalidraw";"Exemples de mapes de navegació";"https://excalidraw.com/"
2;"Wireframing";"Wireframes";"Exemples de mapes de navegació";"https://www.sleepydays.es/2016/04/que-es-como-hacer-wireframe.html"
2;"Wireframing";"draw.io";"Herramientas: draw.io";"https://draw.io/"
2;"Wireframing";"Excalidraw";"Herramientas: Excalidraw";"https://excalidraw.com/"
2;"Wireframing";"Figma";"Herramientas: Figma";"https://www.figma.com/"
2;"Wireframing";"Mockflow";"Herramientas: Mockflow";"https://www.mockflow.com/"
2;"Mapes de navegació";"DesignPlus";"Com crear un mapa de navegació";"https://designplus.co/blog/diseno-web/que-es-un-mapa-de-navegacion-web/"
2;"Paletes de color";"Adobe Color Wheel";"Herramientas: Adobe Color Wheel";"https://color.adobe.com/es/create/color-wheel"
2;"Paletes de color";"Coolors";"Herramientas: Coolors";"https://coolors.co/"
2;"Tipografia";"Google Fonts";"Material pedagògic sobre la tria de fonts";"https://fonts.google.com/knowledge"
31;"HTML5";"HTML5 Cheatsheet";"Cheatsheet de HTML5";"https://www.emezeta.com/articulos/html5-cheatsheet-chuleta-html"
31;"HTML5";"HTML Handbook";"Manual introductorio a HTML";"https://www.freecodecamp.org/news/the-html-handbook/"
31;"HTML Semántico";"Freecodecamp";"Semantic HTML5 Elements Explained";"https://www.freecodecamp.org/news/semantic-html5-elements/"
31;"HTML Semántico";"Semrush.com";"Ejemplos de layout semántico";"https://www.semrush.com/blog/semantic-html5-guide/"
31;"HTML Semántico";"HTML semantics cheatsheet";"Cheatsheet de HTML semántico";"https://learn-the-web.algonquindesign.ca/topics/html-semantics-cheat-sheet/"
32;"CSS Reset";"CSS Reset de Eric Meyer";"Popular Hoja de CSS Reset";"https://meyerweb.com/eric/tools/css/reset/"
32;"CSS Reset";"My Custom RSS";"Otra hoja de CSS Reset 'moderno'";"https://www.joshwcomeau.com/css/custom-css-reset/"
32;"CSS Básico";"The Magic of CSS";"Manual avanzado de CSS";"https://adamschwartz.co/magic-of-css/"
32;"CSS Básico";"Propiedades CSS";"Guía visual de propiedades CSS";"https://lenguajecss.com/css/introduccion/guia-css/"
32;"CSS Básico";"Chuleta CSS";"Cheatsheet de CSS";"https://www.emezeta.com/articulos/css3-cheatsheet-chuleta-css"
32;"CSS Básico";"cssreference.io";"A free visual guide to CSS";"https://cssreference.io/"
32;"CSS Básico";"CSS Dinner";"Un juego para practicar selectores CSS";"https://flukeout.github.io/"
32;"CSS Básico";"CSS Battle";"Un juego para practicar habilidades CSS";"https://cssbattle.dev/"
32;"CSS Snippets";"30 seconds of code";"Colección de ejemplos CSS";"https://www.30secondsofcode.org/css/p/1"
32;"CSS Snippets";"Best Agencies";"Repositorio de snippets y herramientas CSS";"https://www.bestagencies.com/blog/"
32;"CSS Grid";"Ejemplo clase";"Sencillo ejemplo con Grid y Flex";"docs/fase3/grid and flex.rar"
32;"CSS Grid";"CSS Layout Generator";"App online para generar layouts en Grid o Flex";"https://layout.bradwoods.io/"
32;"CSS Utilities";"Fancy Border Radius";"Herramienta para generar bordes CSS complejos";"https://9elements.github.io/fancy-border-radius/"    
32;"CSS Utilities";"Clip-path Maker";"Herramienta para generar cortes poligonales complejos";"https://bennettfeely.com/clippy/"
32;"CSS Utilities";"Animista";"Herramienta para generar animaciones CSS";"https://animista.net/"
32;"CSS Utilities";"Train Ticket";"Ejemplo muy interante de uso de Grid";"https://codepen.io/oliviale/pen/MZZYyO"
32;"CSS Utilities";"Grid Garden";"Juego para aprender a utilizar CSS Grid";"http://cssgridgarden.com/#es"
32;"CSS Flex";"Flexbox cheatsheet";"Sencilla cheatsheet de Flexbox";"https://jonitrythall.com/flexbox-cheatsheet"
32;"CSS Flex";"Flexbox Defense";"Juego para aprender a utilizar CSS Flex";"http://www.flexboxdefense.com/"
32;"CSS Flex";"Flexbox Froggy";"Juego para aprender a utilizar CSS Flex";"http://flexboxfroggy.com/#es"
32;"CSS Flex";"CSS-tricks Flex";"Guía completa del uso de Flex";"https://css-tricks.com/snippets/css/a-guide-to-flexbox/"
32;"CSS Grid";"CSS-tricks Grid";"Guía completa del uso de Grid";"https://css-tricks.com/snippets/css/complete-guide-grid/"
32;"CSS Animation";"CSS-tricks Transition";"Uso de la propiedad transition";"https://css-tricks.com/almanac/properties/t/transition/"
32;"CSS Animation";"CSS-tricks Animation";"Uso de la propiedad animation";"https://css-tricks.com/almanac/properties/a/animation/"
32;"CSS Animation";"Animatable properties";"Complete list of CSS animatable properties";"https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_animated_properties"
32;"CSS Animation";"Animation vs Transition";"Difference between animation and transition in CSS";"https://www.geeksforgeeks.org/difference-between-animation-and-transition-in-css/"